V_P1,V_P2,current,charge (space separated),state,sensor_1,sensor_2
-0.008080808,-0.080808081,1.44E-26,0,1,0.009056933,0.009056933
-0.008080808,-0.084848485,7.99E-25,0,1,0.008962983,0.008962983
-0.008080808,-0.088888889,1.88E-22,0,1,0.008869034,0.008869034
-0.008080808,-0.092929293,2.28E-20,0,1,0.008775084,0.008775084
-0.008080808,-0.096969697,2.03E-18,0,1,0.008681134,0.008681134
-0.008080808,-0.101010101,1.36E-16,0,1,0.008587185,0.008587185
-0.008080808,-0.105050505,2.05E-14,0,1,0.008493235,0.008493235
-0.008080808,-0.109090909,1.76E-12,0,1,0.008399286,0.008399286
-0.008080808,-0.113131313,1.50E-10,0,1,0.008305336,0.008305336
-0.008080808,-0.117171717,2.04E-10,1,1,0.023828763,0.028211387
-0.008080808,-0.121212121,4.41E-12,1,1,0.023734813,0.028117437
-0.008080808,-0.125252525,4.38E-14,1,1,0.023640864,0.028023487
-0.008080808,-0.129292929,5.84E-16,1,1,0.023546914,0.027929538
-0.008080808,-0.133333333,8.16E-18,1,1,0.023452965,0.027835588
-0.008080808,-0.137373737,1.14E-19,1,1,0.023359015,0.027741639
-0.008080808,-0.141414141,2.03E-21,1,1,0.023265065,0.027647689
-0.008080808,-0.145454545,2.09E-19,1,1,0.023171116,0.02755374
-0.008080808,-0.149494949,3.92E-17,1,1,0.023077166,0.02745979
-0.008080808,-0.153535354,6.47E-15,1,1,0.022983217,0.027365841
-0.008080808,-0.157575758,1.10E-12,1,1,0.022889267,0.027271891
-0.008080808,-0.161616162,4.06E-10,1,1,0.022795318,0.027177941
-0.008080808,-0.165656566,7.90E-10,2,1,0.038318744,0.047083992
-0.008080808,-0.16969697,7.44E-12,2,1,0.038224795,0.046990042
-0.008080808,-0.173737374,5.49E-14,2,1,0.038130845,0.046896093
-0.008080808,-0.177777778,4.14E-16,2,1,0.038036895,0.046802143
-0.008080808,-0.181818182,1.49E-18,2,1,0.037942946,0.046708194
-0.008080808,-0.185858586,6.90E-19,2,1,0.037848996,0.046614244
-0.008080808,-0.18989899,1.57E-16,2,1,0.037755047,0.046520294
-0.008080808,-0.193939394,3.41E-14,2,1,0.037661097,0.046426345
-0.008080808,-0.197979798,8.66E-12,2,1,0.037567148,0.046332395
-0.008080808,-0.202020202,1.51E-09,2,1,0.037473198,0.046238446
-0.008080808,-0.206060606,5.77E-10,3,1,0.052996625,0.066144496
-0.008080808,-0.21010101,3.46E-12,3,1,0.052902675,0.066050547
-0.008080808,-0.214141414,2.06E-14,3,1,0.052808726,0.065956597
-0.008080808,-0.218181818,1.28E-16,3,1,0.052714776,0.065862647
-0.008080808,-0.222222222,2.81E-18,3,1,0.052620826,0.065768698
-0.008080808,-0.226262626,6.17E-16,3,1,0.052526877,0.065674748
-0.008080808,-0.23030303,5.36E-13,3,1,0.052432927,0.065580799
-0.008080808,-0.234343434,1.47E-10,3,1,0.052338978,0.065486849
-0.008080808,-0.238383838,1.29E-08,3,1,0.052245028,0.0653929
-0.008080808,-0.242424242,6.18E-10,4,1,0.067768455,0.08529895
-0.008080808,-0.246464646,3.31E-12,4,1,0.067674505,0.085205
-0.008080808,-0.250505051,1.29E-14,4,1,0.067580556,0.085111051
-0.008080808,-0.254545455,6.70E-17,4,1,0.067486606,0.085017101
-0.008080808,-0.258585859,4.00E-16,4,1,0.067392656,0.084923152
-0.008080808,-0.262626263,4.69E-13,4,1,0.067298707,0.084829202
-0.008080808,-0.266666667,1.43E-10,4,1,0.067204757,0.084735253
-0.008080808,-0.270707071,2.41E-08,4,1,0.067110808,0.084641303
-0.008080808,-0.274747475,3.53E-09,5,1,0.082634234,0.104547353
-0.008080808,-0.278787879,1.73E-11,5,1,0.082540285,0.104453404
-0.008080808,-0.282828283,8.34E-14,5,1,0.082446335,0.104359454
-0.008080808,-0.286868687,2.24E-16,5,1,0.082352386,0.104265505
-0.008080808,-0.290909091,6.09E-15,5,1,0.082258436,0.104171555
-0.008080808,-0.294949495,2.02E-12,5,1,0.082164487,0.104077606
-0.008080808,-0.298989899,2.84E-09,5,1,0.082070537,0.103983656
-0.008080808,-0.303030303,1.04E-07,5,1,0.081976587,0.103889706
-0.008080808,-0.307070707,1.38E-09,6,1,0.097500014,0.123795757
-0.008080808,-0.311111111,6.17E-12,6,1,0.097406064,0.123701807
-0.008080808,-0.315151515,3.26E-09,0,0,0,0
-0.008080808,-0.319191919,3.42E-09,0,0,0,0
-0.008080808,-0.323232323,3.60E-09,0,0,0,0
-0.008080808,-0.327272727,3.88E-09,0,0,0,0
-0.008080808,-0.331313131,4.11E-09,0,0,0,0
-0.008080808,-0.335353535,4.21E-09,0,0,0,0
-0.008080808,-0.339393939,4.42E-09,0,0,0,0
-0.008080808,-0.343434343,4.63E-09,0,0,0,0
-0.008080808,-0.347474747,4.69E-09,0,0,0,0
-0.008080808,-0.351515152,4.73E-09,0,0,0,0
-0.008080808,-0.355555556,4.88E-09,0,0,0,0
-0.008080808,-0.35959596,4.74E-09,0,0,0,0
-0.008080808,-0.363636364,4.71E-09,0,0,0,0
-0.008080808,-0.367676768,4.76E-09,0,0,0,0
-0.008080808,-0.371717172,4.65E-09,0,0,0,0
-0.008080808,-0.375757576,4.66E-09,0,0,0,0
-0.008080808,-0.37979798,3.47E-20,0,1,0.002104665,0.002104665
-0.008080808,-0.383838384,6.69E-13,0,1,0.002010715,0.002010715
-0.008080808,-0.387878788,5.78E-09,0,1,0.001916765,0.001916765
-0.008080808,-0.391919192,2.89E-06,0,1,0.001822816,0.001822816
-0.008080808,-0.395959596,2.05E-07,1,1,0.02136303,0.018832823
-0.008080808,-0.4,3.54E-09,1,1,0.021175232,0.018921884
-0.012121212,0,1.88E-18,0,0,0,0
-0.012121212,-0.004040404,2.56E-18,0,0,0,0
-0.012121212,-0.008080808,3.51E-18,0,0,0,0
-0.012121212,-0.012121212,4.87E-18,0,0,0,0
-0.012121212,-0.016161616,6.79E-18,0,0,0,0
-0.012121212,-0.02020202,9.16E-18,0,0,0,0
-0.012121212,-0.024242424,1.35E-17,0,0,0,0
-0.012121212,-0.028282828,1.88E-17,0,0,0,0
-0.012121212,-0.032323232,2.67E-17,0,0,0,0
-0.012121212,-0.036363636,3.82E-17,0,0,0,0
-0.012121212,-0.04040404,5.64E-17,0,0,0,0
-0.012121212,-0.044444444,7.81E-17,0,0,0,0
-0.012121212,-0.048484848,1.18E-16,0,0,0,0
-0.012121212,-0.052525253,1.74E-16,0,0,0,0
-0.012121212,-0.056565657,2.63E-16,0,0,0,0
-0.012121212,-0.060606061,4.08E-16,0,0,0,0
-0.012121212,-0.064646465,6.67E-16,0,0,0,0
-0.012121212,-0.068686869,1.03E-15,0,0,0,0
-0.012121212,-0.072727273,1.43E-31,0,1,0.009229476,0.009229476
-0.012121212,-0.076767677,1.61E-28,0,1,0.009135526,0.009135526
-0.012121212,-0.080808081,4.30E-26,0,1,0.009041577,0.009041577
-0.012121212,-0.084848485,6.68E-24,0,1,0.008947627,0.008947627
-0.012121212,-0.088888889,5.77E-22,0,1,0.008853677,0.008853677
-0.012121212,-0.092929293,7.39E-20,0,1,0.008759728,0.008759728
-0.012121212,-0.096969697,6.40E-18,0,1,0.008665778,0.008665778
-0.012121212,-0.101010101,7.49E-16,0,1,0.008571829,0.008571829
-0.012121212,-0.105050505,6.76E-14,0,1,0.008477879,0.008477879
-0.012121212,-0.109090909,5.30E-12,0,1,0.00838393,0.00838393
-0.012121212,-0.113131313,3.70E-10,0,1,0.00828998,0.00828998
-0.012121212,-0.117171717,1.42E-10,1,1,0.023813407,0.02819603
-0.012121212,-0.121212121,2.46E-12,1,1,0.023719457,0.028102081
-0.012121212,-0.125252525,2.43E-14,1,1,0.023625507,0.028008131
-0.012121212,-0.129292929,3.28E-16,1,1,0.023531558,0.027914182
-0.012121212,-0.133333333,4.69E-18,1,1,0.023437608,0.027820232
-0.012121212,-0.137373737,6.51E-20,1,1,0.023343659,0.027726283
-0.012121212,-0.141414141,4.98E-21,1,1,0.023249709,0.027632333
-0.012121212,-0.145454545,9.17E-19,1,1,0.02315576,0.027538383
-0.012121212,-0.149494949,1.67E-16,1,1,0.02306181,0.027444434
-0.012121212,-0.153535354,2.80E-14,1,1,0.02296786,0.027350484
-0.012121212,-0.157575758,1.11E-11,1,1,0.022873911,0.027256535
-0.012121212,-0.161616162,1.35E-09,1,1,0.022779961,0.027162585
-0.012121212,-0.165656566,4.52E-10,2,1,0.038303388,0.047068636
-0.012121212,-0.16969697,4.04E-12,2,1,0.038209438,0.046974686
-0.012121212,-0.173737374,3.06E-14,2,1,0.038115489,0.046880736
-0.012121212,-0.177777778,9.51E-17,2,1,0.038021539,0.046786787
-0.012121212,-0.181818182,6.91E-19,2,1,0.03792759,0.046692837
-0.012121212,-0.185858586,3.43E-18,2,1,0.03783364,0.046598888
-0.012121212,-0.18989899,7.82E-16,2,1,0.037739691,0.046504938
-0.012121212,-0.193939394,1.81E-13,2,1,0.037645741,0.046410989
-0.012121212,-0.197979798,4.25E-11,2,1,0.037551791,0.046317039
-0.012121212,-0.202020202,6.97E-09,2,1,0.037457842,0.046223089
-0.012121212,-0.206060606,2.52E-10,3,1,0.052981268,0.06612914
-0.012121212,-0.21010101,1.48E-12,3,1,0.052887319,0.06603519
-0.012121212,-0.214141414,8.99E-15,3,1,0.052793369,0.065941241
-0.012121212,-0.218181818,5.68E-17,3,1,0.05269942,0.065847291
-0.012121212,-0.222222222,1.26E-17,3,1,0.05260547,0.065753342
-0.012121212,-0.226262626,3.29E-15,3,1,0.052511521,0.065659392
-0.012121212,-0.23030303,3.16E-12,3,1,0.052417571,0.065565442
-0.012121212,-0.234343434,8.39E-10,3,1,0.052323621,0.065471493
-0.012121212,-0.238383838,1.85E-08,3,1,0.052229672,0.065377543
-0.012121212,-0.242424242,2.52E-10,4,1,0.067753099,0.085283594
-0.012121212,-0.246464646,1.36E-12,4,1,0.067659149,0.085189644
-0.012121212,-0.250505051,5.32E-15,4,1,0.067565199,0.085095695
-0.012121212,-0.254545455,3.62E-17,4,1,0.06747125,0.085001745
-0.012121212,-0.258585859,2.42E-15,4,1,0.0673773,0.084907795
-0.012121212,-0.262626263,3.21E-12,4,1,0.067283351,0.084813846
-0.012121212,-0.266666667,9.72E-10,4,1,0.067189401,0.084719896
-0.012121212,-0.270707071,5.89E-08,4,1,0.067095452,0.084625947
-0.012121212,-0.274747475,1.39E-09,5,1,0.082618878,0.104531997
-0.012121212,-0.278787879,6.74E-12,5,1,0.082524929,0.104438048
-0.012121212,-0.282828283,1.81E-14,5,1,0.082430979,0.104344098
-0.012121212,-0.286868687,2.39E-16,5,1,0.082337029,0.104250149
-0.012121212,-0.290909091,5.33E-14,5,1,0.08224308,0.104156199
-0.012121212,-0.294949495,1.55E-11,5,1,0.08214913,0.104062249
-0.012121212,-0.298989899,2.12E-08,5,1,0.082055181,0.1039683
-0.012121212,-0.303030303,7.22E-08,6,1,0.097578607,0.12387435
-0.012121212,-0.307070707,3.72E-10,6,1,0.097484658,0.123780401
-0.012121212,-0.311111111,1.45E-12,6,1,0.097390708,0.123686451
-0.012121212,-0.315151515,3.55E-09,0,0,0,0
-0.012121212,-0.319191919,3.68E-09,0,0,0,0
-0.012121212,-0.323232323,3.82E-09,0,0,0,0
-0.012121212,-0.327272727,3.98E-09,0,0,0,0
-0.012121212,-0.331313131,4.10E-09,0,0,0,0
-0.012121212,-0.335353535,4.39E-09,0,0,0,0
-0.012121212,-0.339393939,4.54E-09,0,0,0,0
-0.012121212,-0.343434343,4.54E-09,0,0,0,0
-0.012121212,-0.347474747,4.66E-09,0,0,0,0
-0.012121212,-0.351515152,4.63E-09,0,0,0,0
-0.012121212,-0.355555556,4.63E-09,0,0,0,0
-0.012121212,-0.35959596,4.66E-09,0,0,0,0
-0.012121212,-0.363636364,4.50E-09,0,0,0,0
-0.012121212,-0.367676768,2.07E-15,0,1,0.002371157,0.002371157
-0.012121212,-0.371717172,3.09E-11,0,1,0.002277208,0.002277208
-0.012121212,-0.375757576,3.17E-09,0,1,0.002183258,0.002183258
-0.012121212,-0.37979798,2.82E-06,0,1,0.002089308,0.002089308
-0.012121212,-0.383838384,6.14E-07,1,1,0.021713462,0.018914876
-0.012121212,-0.387878788,1.14E-09,1,1,0.021535573,0.019005366
-0.012121212,-0.391919192,2.76E-10,1,1,0.021441623,0.018911416
-0.012121212,-0.395959596,6.30E-12,1,1,0.021347674,0.018817467
-0.012121212,-0.4,1.61E-13,1,1,0.021253724,0.018723517
-0.016161616,0,2.59E-18,0,0,0,0
-0.016161616,-0.004040404,3.52E-18,0,0,0,0
-0.016161616,-0.008080808,4.82E-18,0,0,0,0
-0.016161616,-0.012121212,6.69E-18,0,0,0,0
-0.016161616,-0.016161616,9.23E-18,0,0,0,0
-0.016161616,-0.02020202,1.33E-17,0,0,0,0
-0.016161616,-0.024242424,1.85E-17,0,0,0,0
-0.016161616,-0.028282828,2.61E-17,0,0,0,0
-0.016161616,-0.032323232,3.70E-17,0,0,0,0
-0.016161616,-0.036363636,5.34E-17,0,0,0,0
-0.016161616,-0.04040404,7.83E-17,0,0,0,0
-0.016161616,-0.044444444,1.09E-16,0,0,0,0
-0.016161616,-0.048484848,1.66E-16,0,0,0,0
-0.016161616,-0.052525253,2.47E-16,0,0,0,0
-0.016161616,-0.056565657,3.74E-16,0,0,0,0
-0.016161616,-0.060606061,5.86E-16,0,0,0,0
-0.016161616,-0.064646465,9.69E-16,0,0,0,0
-0.016161616,-0.068686869,3.63E-32,0,1,0.009308069,0.009308069
-0.016161616,-0.072727273,7.75E-30,0,1,0.009214119,0.009214119
-0.016161616,-0.076767677,3.97E-28,0,1,0.00912017,0.00912017
-0.016161616,-0.080808081,1.28E-25,0,1,0.00902622,0.00902622
-0.016161616,-0.084848485,2.13E-23,0,1,0.008932271,0.008932271
-0.016161616,-0.088888889,1.82E-21,0,1,0.008838321,0.008838321
-0.016161616,-0.092929293,2.55E-19,0,1,0.008744372,0.008744372
